,,,,BRUTO,BRUTO,LIQUIDO
,,,,sum,count,sum
ORGAO,CARGO,ANO,MES,,,
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIOS-PENSAO PARLAMENTAR,2016,Abril,1933609.7000000023,193,1500036.9400000004
ADMINISTRACAO GERAL DO ESTADO,COMPL.APOSENTADORIA - FERROBAN (FEPASA),2016,Abril,104320.86,12,53475.06000000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT - BANCO NOSSA CAIXA,2016,Abril,886139.1300000002,85,486630.36000000004
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT-BANCO NOSSA CAIXA,2016,Abril,289158.38999999996,44,217756.26
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO - BANCO NOSSA CAIXA,2016,Abril,667883.2800000001,83,349100.97
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO-BANCO NOSSA CAIXA,2016,Abril,2973381.5200000005,411,2305631.21
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- FUNDACAO ZOOLOGICO SAO,2016,Abril,12984.560000000001,2,3768.0099999999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- SEADE,2016,Abril,8400.8,1,4156.89
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - BANESPREV,2016,Abril,5231.42,1,207.79
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CDHU,2016,Abril,149558.45,18,61676.88999999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CEAGESP,2016,Abril,2293259.8699999996,316,1240408.8499999994
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CETESB,2016,Abril,2673695.1500000013,235,1502148.3500000013
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CODASP,2016,Abril,125749.63,22,51235.61
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CONESP,2016,Abril,14265.75,1,8827.23
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - COSESP,2016,Abril,162701.99000000002,22,82134.94
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - DERSA,2016,Abril,1766769.2900000003,165,922205.0999999995
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - FEPASA,2016,Abril,21891228.04000004,6126,10066064.919999996
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - IPEM-SP,2016,Abril,233041.31999999995,38,84322.42000000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - METRO,2016,Abril,461843.52999999985,33,272467.76
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - PRODESP,2016,Abril,1104631.0400000003,110,583118.5400000002
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - SABESP,2016,Abril,1984987.1000000008,222,957917.41
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - TERRA FOTO,2016,Abril,29432.62,6,10121.8
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. IPT - EMPRESA,2016,Abril,1750893.4299999988,226,917732.4999999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. JUDICIAL,2016,Abril,39365.289999999986,10,28800.0
