,,,,BRUTO,BRUTO,LIQUIDO
,,,,sum,count,sum
ORGAO,CARGO,ANO,MES,,,
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIO DA POLICIA MILITAR - CBPM,2021,Agosto,330348.16000000003,45,170224.67000000004
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIOS-PENSAO PARLAMENTAR,2021,Agosto,1529226.3500000015,158,1189255.52
ADMINISTRACAO GERAL DO ESTADO,COMPL.APOSENTADORIA - FERROBAN (FEPASA),2021,Agosto,125219.29,12,73903.17
ADMINISTRACAO GERAL DO ESTADO,COMPL.PENSAO - FERROBAN (FEPASA),2021,Agosto,13473.47,2,4879.219999999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT - BANCO NOSSA CAIXA,2021,Agosto,199762.68000000002,29,152089.67000000004
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO - BANCO NOSSA CAIXA,2021,Agosto,3630465.8300000015,409,2849174.180000002
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO-BANCO NOSSA CAIXA,2021,Agosto,859266.6900000002,57,475128.7599999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- FUNDACAO ZOOLOGICO SAO,2021,Agosto,32329.670000000002,2,18254.03
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- SEADE,2021,Agosto,17633.02,3,2025.5
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CDHU,2021,Agosto,149461.41999999998,16,79522.34999999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CEAGESP,2021,Agosto,2117365.7699999977,230,1186452.6299999992
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CETESB,2021,Agosto,2535822.0699999994,202,1497316.6399999997
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CODASP,2021,Agosto,104163.78000000003,16,48740.98000000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - COSESP,2021,Agosto,155463.94999999998,17,82900.76
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - DERSA,2021,Agosto,1593863.9500000004,142,898160.3799999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - FEPASA,2021,Agosto,26798169.709999893,4066,16342910.100000063
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - IPEM-SP,2021,Agosto,3006.5,2,3006.5
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - METRO,2021,Agosto,432352.0400000001,27,255641.06000000006
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - PRODESP,2021,Agosto,1222711.6599999995,105,706739.7599999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - SABESP,2021,Agosto,1900363.3800000004,185,923360.9699999996
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - TERRA FOTO,2021,Agosto,18739.72,3,5445.27
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. IPT - EMPRESA,2021,Agosto,216324.44,32,66203.44
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. JUDICIAL,2021,Agosto,215504.50999999992,21,142967.43
