,,,,BRUTO,BRUTO,LIQUIDO
,,,,sum,count,sum
ORGAO,CARGO,ANO,MES,,,
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIOS-PENSAO PARLAMENTAR,2017,Fevereiro,1818104.290000002,183,1450654.8399999999
ADMINISTRACAO GERAL DO ESTADO,COMPL.APOSENTADORIA - FERROBAN (FEPASA),2017,Fevereiro,103265.87,12,56887.61
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT - BANCO NOSSA CAIXA,2017,Fevereiro,984080.1599999997,84,521867.12
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT-BANCO NOSSA CAIXA,2017,Fevereiro,296745.51999999996,41,225143.20999999996
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO - BANCO NOSSA CAIXA,2017,Fevereiro,679188.8300000003,86,361259.51000000007
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO-BANCO NOSSA CAIXA,2017,Fevereiro,3132313.770000002,413,2601848.8200000026
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- FUNDACAO ZOOLOGICO SAO,2017,Fevereiro,10737.4,2,2462.49
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- SEADE,2017,Fevereiro,8400.8,1,3900.3
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CDHU,2017,Fevereiro,140988.56,17,65547.55
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CEAGESP,2017,Fevereiro,2371298.7399999993,308,1312698.1500000006
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CETESB,2017,Fevereiro,2635353.0800000005,230,1541030.7899999993
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CODASP,2017,Fevereiro,120633.93000000002,22,50002.71999999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CONESP,2017,Fevereiro,14265.75,1,8710.78
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - COSESP,2017,Fevereiro,166649.40000000002,22,94363.59000000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - DERSA,2017,Fevereiro,1774669.0900000003,163,992753.2099999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - FEPASA,2017,Fevereiro,22701729.73000007,5812,11049095.780000005
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - IPEM-SP,2017,Fevereiro,233022.93999999994,38,79659.83999999997
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - METRO,2017,Fevereiro,478289.99,32,306708.42
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - PRODESP,2017,Fevereiro,1105522.2099999997,108,644185.9499999997
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - SABESP,2017,Fevereiro,1928814.7200000002,215,954631.98
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - TERRA FOTO,2017,Fevereiro,25409.149999999998,5,8639.55
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. IPT - EMPRESA,2017,Fevereiro,1871262.7500000002,226,1012055.9300000002
