,,,,BRUTO,BRUTO,LIQUIDO
,,,,sum,count,sum
ORGAO,CARGO,ANO,MES,,,
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIO DA POLICIA MILITAR - CBPM,2019,Julho,302339.05000000005,46,147375.19999999998
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIOS-PENSAO PARLAMENTAR,2019,Julho,1692540.2200000023,171,1430493.8000000007
ADMINISTRACAO GERAL DO ESTADO,COMPL.APOSENTADORIA - FERROBAN (FEPASA),2019,Julho,110866.68000000001,11,70879.35999999999
ADMINISTRACAO GERAL DO ESTADO,COMPL.PENSAO - FERROBAN (FEPASA),2019,Julho,13148.63,2,4871.81
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT - BANCO NOSSA CAIXA,2019,Julho,244567.27999999997,33,187606.14999999997
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO - BANCO NOSSA CAIXA,2019,Julho,3597439.9600000023,426,2906356.329999996
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO-BANCO NOSSA CAIXA,2019,Julho,852731.1599999999,60,469441.0500000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- FUNDACAO ZOOLOGICO SAO,2019,Julho,30857.75,2,15893.71
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- SEADE,2019,Julho,10737.4,2,2001.5
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CDHU,2019,Julho,140394.88999999998,15,67217.06
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CEAGESP,2019,Julho,2226659.9499999997,260,1295853.040000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CETESB,2019,Julho,2661640.7499999995,220,1600022.83
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CODASP,2019,Julho,122966.97000000002,20,54107.39999999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CONESP,2019,Julho,16528.46,1,10065.71
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - COSESP,2019,Julho,175438.74000000002,21,98847.02
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - DERSA,2019,Julho,1759503.9100000004,156,1004923.5200000003
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - FEPASA,2019,Julho,27323189.550000016,4940,15137312.709999979
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - IPEM-SP,2019,Julho,1364.43,1,1364.43
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - METRO,2019,Julho,481152.9300000001,31,313974.76000000007
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - PRODESP,2019,Julho,1164840.7199999995,104,647097.8
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - SABESP,2019,Julho,1873006.6999999988,198,928258.0899999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - TERRA FOTO,2019,Julho,22445.75,4,8169.23
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. IPT - EMPRESA,2019,Julho,218599.45999999996,33,80300.06
