,,,,BRUTO,BRUTO,LIQUIDO
,,,,sum,count,sum
ORGAO,CARGO,ANO,MES,,,
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIOS-PENSAO PARLAMENTAR,2017,Junho,1851752.9100000022,185,1492259.6199999994
ADMINISTRACAO GERAL DO ESTADO,COMPL.APOSENTADORIA - FERROBAN (FEPASA),2017,Junho,93227.91,11,48366.740000000005
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT - BANCO NOSSA CAIXA,2017,Junho,1024646.8699999998,87,596735.4699999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT-BANCO NOSSA CAIXA,2017,Junho,291075.10000000003,40,213336.99
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO - BANCO NOSSA CAIXA,2017,Junho,677224.8600000003,85,379781.87
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO-BANCO NOSSA CAIXA,2017,Junho,3094960.4600000023,409,2520878.290000002
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- FUNDACAO ZOOLOGICO SAO,2017,Junho,10737.4,2,2462.49
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- SEADE,2017,Junho,8400.8,1,3900.3
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CDHU,2017,Junho,150885.08000000002,18,71799.01000000002
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CEAGESP,2017,Junho,2338817.559999999,302,1318545.3600000008
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CETESB,2017,Junho,2637564.0300000007,230,1605867.5499999996
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CODASP,2017,Junho,120633.93000000002,22,51791.31999999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CONESP,2017,Junho,15486.89,1,9498.72
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - COSESP,2017,Junho,177015.65999999997,22,104831.44
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - DERSA,2017,Junho,1729994.8500000003,159,949665.33
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - FEPASA,2017,Junho,23210817.100000113,5758,11438683.349999996
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - IPEM-SP,2017,Junho,235168.73999999993,38,309750.3900000002
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - METRO,2017,Junho,465945.35,31,285889.23
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - PRODESP,2017,Junho,1196283.6300000001,111,717060.3500000006
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - SABESP,2017,Junho,1872783.18,209,932857.0099999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - TERRA FOTO,2017,Junho,30493.21,6,9779.96
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. IPT - EMPRESA,2017,Junho,1880311.3600000003,226,1108536.1500000004
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. JUDICIAL,2017,Junho,62724.72999999999,12,44678.869999999995
