,,,,BRUTO,BRUTO,LIQUIDO
,,,,sum,count,sum
ORGAO,CARGO,ANO,MES,,,
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIO DA POLICIA MILITAR - CBPM,2020,Maio,340431.62,48,160484.41000000003
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIOS-PENSAO PARLAMENTAR,2020,Maio,1658974.990000002,169,1307967.9199999995
ADMINISTRACAO GERAL DO ESTADO,COMPL.APOSENTADORIA - FERROBAN (FEPASA),2020,Maio,120150.34,12,60240.18999999999
ADMINISTRACAO GERAL DO ESTADO,COMPL.PENSAO - FERROBAN (FEPASA),2020,Maio,13363.369999999999,2,4545.48
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT - BANCO NOSSA CAIXA,2020,Maio,213566.25000000003,31,159322.75000000003
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO - BANCO NOSSA CAIXA,2020,Maio,3732644.1099999957,428,2813930.1100000003
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO-BANCO NOSSA CAIXA,2020,Maio,850831.1799999998,59,445808.1199999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- FUNDACAO ZOOLOGICO SAO,2020,Maio,32329.670000000002,2,17267.34
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- SEADE,2020,Maio,10737.4,2,1610.1399999999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CDHU,2020,Maio,149461.41999999998,16,69042.46
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CEAGESP,2020,Maio,2328579.219999998,255,1280811.3700000003
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CETESB,2020,Maio,2647683.6999999997,217,1510140.729999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CODASP,2020,Maio,118971.69000000002,19,49032.340000000004
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - COSESP,2020,Maio,169983.14,20,92817.53
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - DERSA,2020,Maio,1732523.1600000004,151,971829.3499999997
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - FEPASA,2020,Maio,27734697.709999952,4640,14716618.359999962
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - IPEM-SP,2020,Maio,1425.56,1,1425.56
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - METRO,2020,Maio,460349.59000000014,29,271921.43
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - PRODESP,2020,Maio,1207700.9899999995,104,661307.0799999997
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - SABESP,2020,Maio,1965739.83,196,927931.7999999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - TERRA FOTO,2020,Maio,23155.04,4,8281.0
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. IPT - EMPRESA,2020,Maio,218333.47,33,67197.96
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. JUDICIAL,2020,Maio,163487.48999999996,19,154660.82
