,,,,BRUTO,BRUTO,LIQUIDO
,,,,sum,count,sum
ORGAO,CARGO,ANO,MES,,,
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIOS-PENSAO PARLAMENTAR,2017,Outubro,1855257.6500000025,184,1442775.8699999999
ADMINISTRACAO GERAL DO ESTADO,COMPL.APOSENTADORIA - FERROBAN (FEPASA),2017,Outubro,90411.94,10,46992.630000000005
ADMINISTRACAO GERAL DO ESTADO,COMPL.PENSAO - FERROBAN (FEPASA),2017,Outubro,8913.13,1,5434.54
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT - BANCO NOSSA CAIXA,2017,Outubro,1001869.4799999997,84,533604.3300000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT-BANCO NOSSA CAIXA,2017,Outubro,285062.93000000005,38,221601.78000000003
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO - BANCO NOSSA CAIXA,2017,Outubro,709042.2600000004,90,400508.05
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO-BANCO NOSSA CAIXA,2017,Outubro,3105086.5900000012,413,2472452.640000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- FUNDACAO ZOOLOGICO SAO,2017,Outubro,10737.4,2,2462.49
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- SEADE,2017,Outubro,8400.8,1,3900.3
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CDHU,2017,Outubro,135156.54,16,81360.41999999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CEAGESP,2017,Outubro,2318650.189999999,299,1318270.3500000008
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CETESB,2017,Outubro,2717094.730000001,230,1880440.850000002
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CODASP,2017,Outubro,120633.93000000002,22,49231.22999999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CONESP,2017,Outubro,15486.89,1,9498.72
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - COSESP,2017,Outubro,177456.65999999997,22,105121.82000000002
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - DERSA,2017,Outubro,1675197.7900000005,155,912308.7599999994
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - FEPASA,2017,Outubro,24006866.680000067,5683,12321916.500000011
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - IPEM-SP,2017,Outubro,233800.23999999993,37,88631.08999999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - METRO,2017,Outubro,496034.51999999996,32,359167.45999999996
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - PRODESP,2017,Outubro,1196283.6300000001,111,679262.9300000004
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - SABESP,2017,Outubro,1930771.5199999998,209,1130723.73
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - TERRA FOTO,2017,Outubro,30493.21,6,11122.56
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. IPT - EMPRESA,2017,Outubro,1836917.5700000003,221,994491.8500000002
