,,,,BRUTO,BRUTO,LIQUIDO
,,,,sum,count,sum
ORGAO,CARGO,ANO,MES,,,
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIO DA POLICIA MILITAR - CBPM,2021,Setembro,330348.16000000003,45,159708.34000000005
ADMINISTRACAO GERAL DO ESTADO,BENEFICIARIOS-PENSAO PARLAMENTAR,2021,Setembro,1534995.0900000015,158,1179468.82
ADMINISTRACAO GERAL DO ESTADO,COMPL.APOSENTADORIA - FERROBAN (FEPASA),2021,Setembro,125219.29,12,62306.439999999995
ADMINISTRACAO GERAL DO ESTADO,COMPL.PENSAO - FERROBAN (FEPASA),2021,Setembro,13473.47,2,4380.5599999999995
ADMINISTRACAO GERAL DO ESTADO,COMPLEM APOSENT - BANCO NOSSA CAIXA,2021,Setembro,199762.68000000002,29,153396.21
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO - BANCO NOSSA CAIXA,2021,Setembro,3611215.5700000017,407,2792826.0900000026
ADMINISTRACAO GERAL DO ESTADO,COMPLEM PENSAO-BANCO NOSSA CAIXA,2021,Setembro,862039.7900000002,57,484780.6399999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- FUNDACAO ZOOLOGICO SAO,2021,Setembro,32329.670000000002,2,18254.03
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT- SEADE,2021,Setembro,17633.02,3,2055.41
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CDHU,2021,Setembro,149461.41999999998,16,72724.12000000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CEAGESP,2021,Setembro,2100182.689999998,227,1163809.9399999992
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CETESB,2021,Setembro,2535822.0699999994,202,1530741.9799999993
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - CODASP,2021,Setembro,104163.78000000003,16,49409.43000000001
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - COSESP,2021,Setembro,155463.94999999998,17,92967.82
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - DERSA,2021,Setembro,1593863.9500000004,142,855055.3999999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - FEPASA,2021,Setembro,26796420.439999882,4029,15077624.89999997
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - IPEM-SP,2021,Setembro,1503.25,1,1503.25
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - METRO,2021,Setembro,432352.0400000001,27,257423.66000000006
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - PRODESP,2021,Setembro,1222711.6599999995,105,718719.5199999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - SABESP,2021,Setembro,1900363.3800000004,185,921821.4199999998
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. - TERRA FOTO,2021,Setembro,18739.72,3,5445.27
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. IPT - EMPRESA,2021,Setembro,216324.44,32,64949.50999999999
ADMINISTRACAO GERAL DO ESTADO,COMPLEM. APOSENT. JUDICIAL,2021,Setembro,215504.50999999992,21,142266.29000000004
